Land,Landkode,BNP_per_capita,Utdanning,Befolkning
Norway, NOR, 73262.68, 11.65, 4886000
Kuwait, KWT, 67029.523, 6.39, 2992000
Luxembourg, LUX, 57882.809, 11.33, 508000
Switzerland, CHE, 55688.02, 12.92, 7809000
United States, USA, 49500.629, 13.24, 309011008
Ireland, IRL, 47823.504, 12.45, 4554000
Australia, AUS, 44854.902, 11.69, 22155000
Netherlands, NLD, 44004.145, 11.71, 16683000
Denmark, DNK, 43416.223, 11.97, 5555000
Hong Kong, HKG, 41687.949, 12.2, 6966000
Germany, DEU, 40627.23, 12.58, 80827000
Austria, AUT, 40489.809, 10.13, 8410000
Sweden, SWE, 40421.906, 11.95, 9390000
Canada, CAN, 40269.031, 12.74, 34148000
Finland, FIN, 38394.059, 10.71, 5366000
Belgium, BEL, 38177.945, 11.29, 10939000
Iceland, ISL, 37729.016, 11.48, 320000
Taiwan, TWN, 37188.895, 11.96, 23188000
Japan, JPN, 36595.633, 12.44, 128542000
France, FRA, 35786.16, 11.34, 62880000
United Kingdom, GBR, 34810.281, 12.46, 63460000
Italy, ITA, 34727.676, 10.71, 59325000
Spain, ESP, 31610.98, 10.75, 46931000
South Korea, KOR, 31589.705, 12.96, 49546000
New Zealand, NZL, 30867.053, 11.12, 4370000
Cyprus, CYP, 28046.375, 11.76, 1113000
Trinidad and Tobago, TTO, 27510.236, 10.96, 1328000
Czechia, CZE, 26129.568, 12.8, 10537000
Greece, GRC, 25815.799, 11.36, 10888000
Portugal, PRT, 25788.273, 8.71, 10596000
Malta, MLT, 22983.451, 11.06, 414000
Russia, RUS, 21754.066, 12.02, 143479008
Poland, POL, 21006.027, 11.62, 38330000
Hungary, HUN, 20477.799, 11.98, 9927000
Chile, CHL, 18092.941, 10.35, 17063000
Turkey, TUR, 17930.68, 7.44, 72327000
Malaysia, MYS, 17913.164, 10.89, 28208000
Iran, IRN, 17328.459, 9.15, 73763000
Romania, ROU, 16775.609, 11.08, 20472000
Venezuela, VEN, 16357.737, 8.78, 28440000
Argentina, ARG, 15841.659, 9.71, 40896000
Uruguay, URY, 15783.405, 8.61, 3359000
Mauritius, MUS, 15178.326, 9.44, 1248000
Panama, PAN, 15055.237, 9.72, 3643000
Bulgaria, BGR, 14906.785, 11.07, 7425000
Mexico, MEX, 14507.013, 9.18, 114093000
Barbados, BRB, 13995.613, 9.57, 282000
Brazil, BRA, 13541.462, 8.17, 195714000
Algeria, DZA, 12590.226, 7, 35977000
Thailand, THA, 12496.244, 8.47, 67195000
Serbia, SRB, 12453.482, 11.52, 8991000
Costa Rica, CRI, 12106.992, 8.43, 4577000
Dominican Republic, DOM, 11500.132, 8.12, 9695000
South Africa, ZAF, 11388.641, 9.89, 51217000
Tunisia, TUN, 10647.835, 8, 10635000
Colombia, COL, 10636.5, 9.35, 45223000
Albania, ALB, 9544.7402, 10.44, 2948000
Jordan, JOR, 9351.3877, 10, 7262000
Iraq, IRQ, 9344.5439, 7.43, 29742000
China, CHN, 9337.29, 8.25, 1368811008
Peru, PER, 9262.1641, 9.28, 29028000
Egypt, EGY, 9148.8398, 7.44, 82761000
Ecuador, ECU, 9129.1367, 8.02, 15011000
Sri Lanka, LKA, 8390.4297, 10.67, 20262000
Indonesia, IDN, 7365.4385, 8.02, 241834000
Belize, BLZ, 7145.9521, 9.63, 322000
Eswatini, SWZ, 7042.5239, 5.33, 1065000
Fiji, FJI, 6902.0688, 10.35, 860000
Paraguay, PRY, 6825.2051, 7.99, 6248000
Jamaica, JAM, 6675.1768, 10.33, 2810000
Morocco, MAR, 6421.9375, 5.27, 32343000
Guatemala, GTM, 6359.2627, 5.21, 14630000
El Salvador, SLV, 6096.9585, 8.06, 6184000
Syria, SYR, 5700.3291, 7.07, 21363000
Philippines, PHL, 5391.2339, 8.65, 93967000
Bolivia, BOL, 4806.6094, 8.57, 10049000
Yemen, YEM, 4553.5571, 3.84, 23155000
India, IND, 4357.0596, 6.59, 1234280960
Pakistan, PAK, 4171.4165, 5.19, 179424992
Nicaragua, NIC, 3992.762, 6.82, 5824000
Ghana, GHA, 3931.2917, 7.66, 24780000
Honduras, HND, 3789.9104, 6.6, 8317000
Sudan, SDN, 3608.7856, 3.49, 34545000
Myanmar, MMR, 3422.2415, 5.11, 50601000
Zambia, ZMB, 2870.8872, 7.4, 13606000
Senegal, SEN, 2741.1213, 3.11, 12678000
Cameroon, CMR, 2684.9727, 6.41, 20341000
Gambia, GMB, 2681.8586, 3.92, 1793000
Kenya, KEN, 2484.0349, 6.47, 42031000
Cote d'Ivoire, CIV, 2452.6096, 4.93, 20533000
Lesotho, LSO, 2432.7976, 6.08, 1996000
Bangladesh, BGD, 2411.1021, 6.22, 147575008
Cambodia, KHM, 2330.1272, 4.94, 14312000
Nepal, NPL, 1996.1962, 4.44, 27013000
Benin, BEN, 1919.9968, 4.57, 9199000
Mali, MLI, 1873.281, 2.14, 15049000
Uganda, UGA, 1723.5942, 5.87, 32428000
Haiti, HTI, 1650.2697, 5.17, 9949000
Zimbabwe, ZWE, 1479.0305, 7.86, 12698000
Togo, TGO, 1222.8151, 6.09, 6422000
Sierra Leone, SLE, 1161.8798, 4.28, 6416000
Malawi, MWI, 972.04572, 5.01, 14540000
Mozambique, MOZ, 969.23077, 2.03, 23532000
Niger, NER, 845.86932, 1.95, 16464000
Liberia, LBR, 786.67023, 4.35, 3891000
Democratic Republic of Congo, COD, 634.97137, 3.79, 64564000
